Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status
P10-P10-MIF02,P10,P10-CA04,P10-WP041,Integration Configuration Complete,Milestone,0,2026-10-20,2026-10-20,Approved milestone / interface milestone,Source-explicit milestone date
P10-A12,P10,P10-CA04,P10-WP043,Control Panel Fabrication & Shop Assembly,Task,25,2026-11-11,2026-12-15,Synthetic project assumption,Source-derived / reconstructed network
P10-A13,P10,P10-CA04,P10-WP041,FAT / Bench Test,Task,15,2026-12-16,2027-01-05,Synthetic project-specific planning assumption,Source-derived / reconstructed network
P10-MFAT,P10,P10-CA04,P10-WP041,MFAT,Milestone,0,2027-01-05,2027-01-05,Approved milestone / interface milestone,Source-explicit milestone date
P10-A16,P10,P10-CA04,P10-WP043,Delivery & Receiving — Panels/Network Equipment,Task,8,2027-01-06,2027-01-15,Project-type realism,Source-derived / reconstructed network
P10-A17,P10,P10-CA04,P10-WP043,Site Installation — Panels & Network Infrastructure,Task,25,2027-01-18,2027-02-19,Project-type realism,Source-derived / reconstructed network
P10-MSITEINSTALL,P10,P10-CA04,P10-WP041,MSITEINSTALL,Milestone,0,2027-02-19,2027-02-19,Approved milestone / interface milestone,Source-explicit milestone date
P10-A18,P10,P10-CA05,P10-WP051,I/O Checkout & Point-to-Point Verification,Task,15,2027-02-22,2027-03-12,Project-type realism,Source-derived / reconstructed network
P10-MIOCHECK,P10,P10-CA04,P10-WP041,MIOCHECK,Milestone,0,2027-03-12,2027-03-12,Approved milestone / interface milestone,Source-explicit milestone date
P10-A19,P10,P10-CA05,P10-WP051,Communications/Network Testing,Task,10,2027-03-15,2027-03-26,Project-type realism,Source-derived / reconstructed network
P10-P10-MIF03,P10,P10-CA04,P10-WP041,Site Integration Ready,Milestone,0,2027-03-26,2027-03-26,Approved milestone / interface milestone,Source-explicit milestone date
P10-MSAT,P10,P10-CA05,P10-WP051,MSAT,Milestone,0,2027-05-07,2027-05-07,Approved milestone / interface milestone,Source-explicit milestone date
P10-MCUTOVER,P10,P10-CA05,P10-WP051,MCUTOVER,Milestone,0,2027-06-11,2027-06-11,Approved milestone / interface milestone,Source-explicit milestone date
P10-MOPACC,P10,P10-CA04,P10-WP041,MOPACC,Milestone,0,2027-07-02,2027-07-02,Approved milestone / interface milestone,Source-explicit milestone date
P10-M3,P10,P10-CA04,P10-WP041,Substantial Completion,Milestone,0,2027-07-16,2027-07-16,Approved milestone / interface milestone,Source-explicit milestone date
P10-M4,P10,P10-CA04,P10-WP041,Final Completion,Milestone,0,2027-08-20,2027-08-20,Approved milestone / interface milestone,Source-explicit milestone date
P11-A1,P11,P11-CA01,P11-WP011,Valve Inventory / Condition Prioritization,Task,15,2025-04-01,2025-04-21,Project-type realism,Source-derived / reconstructed network
P11-A2,P11,P11-CA01,P11-WP012,Project Definition & Isolation-Zone Planning,Task,10,2025-04-22,2025-05-05,Project-type realism,Source-derived / reconstructed network
P11-A3,P11,P11-CA02,P11-WP021,Preliminary Design,Task,15,2025-05-06,2025-05-26,Project-type realism,Source-derived / reconstructed network
P11-A4,P11,P11-CA02,P11-WP022,Final Design,Task,15,2025-06-03,2025-06-23,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network
P11-A5,P11,P11-CA03,P11-WP031,Bid Advertisement,Task,15,2025-06-17,2025-07-07,Project-type realism,Source-derived / reconstructed network
P11-M1,P11,P11-CA04,P11-WP041,Design Complete,Milestone,0,2025-06-23,2025-06-23,Approved milestone / interface milestone,Source-explicit milestone date
P11-A5b,P11,P11-CA03,P11-WP031,Evaluation & Award,Task,10,2025-07-08,2025-07-21,Project-type realism,Source-derived / reconstructed network
P11-A5c,P11,P11-CA03,P11-WP032,Governing Body Approval,Task,10,2025-07-22,2025-08-04,Project-type realism,Source-derived / reconstructed network
P11-M2,P11,P11-CA04,P11-WP041,Contract Award / NTP,Milestone,0,2025-08-11,2025-08-11,Approved milestone / interface milestone,Source-explicit milestone date
P11-A10,P11,P11-CA04,P11-WP041,Shutdown & Customer/Service Coordination Planning,Task,15,2025-08-12,2025-09-01,Project-type realism,Source-derived / reconstructed network
P11-A6,P11,P11-CA03,P11-WP032,Mobilization,Task,10,2025-08-12,2025-08-25,Project-type realism,Source-derived / reconstructed network
P11-A7,P11,P11-CA05,P11-WP051,Field Verification / Utility Locating,Task,15,2025-08-12,2025-09-01,Project-type realism,Source-derived / reconstructed network
P11-A8,P11,P11-CA02,P11-WP022,Traffic / Street-Opening Coordination & Permitting,Task,10,2025-08-12,2025-08-25,Project-type realism,Source-derived / reconstructed network
P11-A9,P11,P11-CA04,P11-WP041,Material Procurement — Valves & Fittings,Task,25,2025-08-12,2025-09-15,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P11-AFIRST,P11,P11-CA04,P11-WP041,Complete First Valve Replacement,Task,2,2025-09-16,2025-09-17,Project-type realism,Source-derived / reconstructed network
P11-B1inst,P11,P11-CA04,P11-WP041,Batch 1 Valve Installation,Task,40,2025-09-16,2025-11-10,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P11-MFIRST,P11,P11-CA04,P11-WP041,MFIRST,Milestone,0,2025-09-17,2025-09-17,Approved milestone / interface milestone,Source-explicit milestone date
P11-B2inst,P11,P11-CA04,P11-WP041,Batch 2 Valve Installation,Task,40,2025-10-21,2025-12-15,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P11-MBATCH1,P11,P11-CA04,P11-WP041,MBATCH1,Milestone,0,2025-11-10,2025-11-10,Approved milestone / interface milestone,Source-explicit milestone date
P11-B1test,P11,P11-CA05,P11-WP051,Batch 1 Testing / Return to Service,Task,10,2025-11-11,2025-11-24,Project-type realism,Source-derived / reconstructed network
P11-B1rest,P11,P11-CA04,P11-WP043,Batch 1 Restoration,Task,40,2025-11-25,2026-01-19,Project-type realism,Source-derived / reconstructed network
P11-MTARGET,P11,P11-CA04,P11-WP041,MTARGET,Milestone,0,2025-12-15,2025-12-15,Approved milestone / interface milestone,Source-explicit milestone date
P11-B2test,P11,P11-CA05,P11-WP051,Batch 2 Testing / Return to Service,Task,10,2025-12-16,2025-12-29,Project-type realism,Source-derived / reconstructed network
P11-B2rest,P11,P11-CA04,P11-WP043,Batch 2 Restoration,Task,40,2025-12-30,2026-02-23,Project-type realism,Source-derived / reconstructed network
P11-B1gis,P11,P11-CA06,P11-WP061,Batch 1 Records/GIS Update,Task,10,2026-01-20,2026-02-02,Project-type realism,Source-derived / reconstructed network
P11-M3,P11,P11-CA04,P11-WP041,Substantial Completion,Milestone,0,2026-02-09,2026-02-09,Approved milestone / interface milestone,Source-explicit milestone date
P11-MISOVERIFY,P11,P11-CA04,P11-WP041,MISOVERIFY,Milestone,0,2026-02-09,2026-02-09,Approved milestone / interface milestone,Source-explicit milestone date
P11-B2gis,P11,P11-CA06,P11-WP061,Batch 2 Records/GIS Update,Task,10,2026-02-24,2026-03-09,Project-type realism,Source-derived / reconstructed network
P11-M4,P11,P11-CA04,P11-WP041,Final Completion,Milestone,0,2026-03-09,2026-03-09,Approved milestone / interface milestone,Source-explicit milestone date
P11-A11,P11,P11-CA05,P11-WP051,Final Inspection & Punch List / Isolation Function Verification,Task,10,2026-03-10,2026-03-23,Project-type realism,Source-derived / reconstructed network
P11-A12,P11,P11-CA06,P11-WP061,Documentation & Turnover,Task,10,2026-03-24,2026-04-06,Project-type realism,Source-derived / reconstructed network
P11-A13,P11,P11-CA06,P11-WP062,Financial Closeout,Task,15,2026-04-07,2026-04-27,Project-type realism,Source-derived / reconstructed network
P12-Y1A1,P12,P12-CA01,P12-WP011,Year 1 Annual Planning & Prioritization Window,Task,15,2025-01-02,2025-01-22,Project-type realism,Source-derived / reconstructed network
P12-MPLANY1,P12,P12-CA04,P12-WP041,MPLANY1,Milestone,0,2025-01-22,2025-01-22,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y1A2,P12,P12-CA01,P12-WP011,Year 1 Intake & Triage of Small-Capital/Emergency Needs,Task,20,2025-01-23,2025-02-19,Project-type realism,Source-derived / reconstructed network
P12-Y1A3,P12,P12-CA04,P12-WP041,Year 1 Scope Development,Task,20,2025-02-20,2025-03-19,Project-type realism,Source-derived / reconstructed network
P12-Y1A4,P12,P12-CA02,P12-WP021,Year 1 Rapid Design / Standard-Detail Development,Task,15,2025-03-20,2025-04-09,Project-type realism,Source-derived / reconstructed network
P12-Y1A5,P12,P12-CA01,P12-WP011,Year 1 Procurement / Task-Order Assignment,Task,25,2025-04-10,2025-05-14,Synthetic project assumption — standing on-call/task-order contract,Source-derived / reconstructed network
P12-Y1A6,P12,P12-CA04,P12-WP041,Year 1 Field Execution,Task,90,2025-05-15,2025-09-17,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P12-MY1DONE,P12,P12-CA04,P12-WP041,MY1DONE,Milestone,0,2025-09-17,2025-09-17,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y1A7,P12,P12-CA05,P12-WP051,Year 1 Verification / Acceptance,Task,15,2025-09-18,2025-10-08,Project-type realism,Source-derived / reconstructed network
P12-Y1A8,P12,P12-CA06,P12-WP061,Year 1 Closeout,Task,15,2025-10-09,2025-10-29,Project-type realism,Source-derived / reconstructed network
P12-Y2A1,P12,P12-CA01,P12-WP011,Year 2 Annual Planning & Prioritization Window,Task,15,2025-10-30,2025-11-19,Project-type realism,Source-derived / reconstructed network
P12-MPLANY2,P12,P12-CA04,P12-WP041,MPLANY2,Milestone,0,2025-11-19,2025-11-19,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y2A2,P12,P12-CA01,P12-WP011,Year 2 Intake & Triage of Small-Capital/Emergency Needs,Task,20,2025-11-20,2025-12-17,Project-type realism,Source-derived / reconstructed network
P12-Y2A3,P12,P12-CA04,P12-WP041,Year 2 Scope Development,Task,20,2025-12-18,2026-01-14,Project-type realism,Source-derived / reconstructed network
P12-Y2A4,P12,P12-CA02,P12-WP021,Year 2 Rapid Design / Standard-Detail Development,Task,15,2026-01-15,2026-02-04,Project-type realism,Source-derived / reconstructed network
P12-Y2A5,P12,P12-CA01,P12-WP011,Year 2 Procurement / Task-Order Assignment,Task,25,2026-02-05,2026-03-11,Synthetic project assumption — standing on-call/task-order contract,Source-derived / reconstructed network
P12-Y2A6,P12,P12-CA04,P12-WP041,Year 2 Field Execution,Task,90,2026-03-12,2026-07-15,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P12-MY2DONE,P12,P12-CA04,P12-WP041,MY2DONE,Milestone,0,2026-07-15,2026-07-15,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y2A7,P12,P12-CA05,P12-WP051,Year 2 Verification / Acceptance,Task,15,2026-07-16,2026-08-05,Project-type realism,Source-derived / reconstructed network
P12-Y2A8,P12,P12-CA06,P12-WP061,Year 2 Closeout,Task,15,2026-08-06,2026-08-26,Project-type realism,Source-derived / reconstructed network
P12-Y3A1,P12,P12-CA01,P12-WP011,Year 3 Annual Planning & Prioritization Window,Task,15,2026-08-27,2026-09-16,Project-type realism,Source-derived / reconstructed network
P12-MPLANY3,P12,P12-CA04,P12-WP041,MPLANY3,Milestone,0,2026-09-16,2026-09-16,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y3A2,P12,P12-CA01,P12-WP011,Year 3 Intake & Triage of Small-Capital/Emergency Needs,Task,20,2026-09-17,2026-10-14,Project-type realism,Source-derived / reconstructed network
P12-Y3A3,P12,P12-CA04,P12-WP041,Year 3 Scope Development,Task,20,2026-10-15,2026-11-11,Project-type realism,Source-derived / reconstructed network
P12-Y3A4,P12,P12-CA02,P12-WP021,Year 3 Rapid Design / Standard-Detail Development,Task,15,2026-11-12,2026-12-02,Project-type realism,Source-derived / reconstructed network
P12-Y3A5,P12,P12-CA01,P12-WP011,Year 3 Procurement / Task-Order Assignment,Task,25,2026-12-03,2027-01-06,Synthetic project assumption — standing on-call/task-order contract,Source-derived / reconstructed network
P12-Y3A6,P12,P12-CA04,P12-WP041,Year 3 Field Execution,Task,90,2027-01-07,2027-05-12,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network
P12-MY3DONE,P12,P12-CA04,P12-WP041,MY3DONE,Milestone,0,2027-05-12,2027-05-12,Approved milestone / interface milestone,Source-explicit milestone date
P12-Y3A7,P12,P12-CA05,P12-WP051,Year 3 Verification / Acceptance,Task,15,2027-05-13,2027-06-02,Project-type realism,Source-derived / reconstructed network
P12-Y3A8,P12,P12-CA06,P12-WP061,Year 3 Closeout,Task,15,2027-06-03,2027-06-23,Project-type realism,Source-derived / reconstructed network
P12-MPROGCLOSE,P12,P12-CA04,P12-WP041,MPROGCLOSE,Milestone,0,2027-06-23,2027-06-23,Approved milestone / interface milestone,Source-explicit milestone date
