Activity_ID,Project_ID,Control_Account_ID,Work_Package_ID,WBS_Code,Activity_Name,Activity_Type,Duration_Days,Baseline_Start,Baseline_Finish,Assumption_Basis,Recovery_Status,Prior_Approved_or_Reconstructed_Start,Prior_Approved_or_Reconstructed_Finish,Early_Start,Early_Finish,Late_Start,Late_Finish,Total_Float_Days,Critical_Flag
P05-A18,P05,P05-CA06,P05-WP062,1.05.6.2,Financial Closeout,Task,20,2026-04-20,2026-05-15,Project-type realism,Recovered by reconciliation to approved P05 milestone dates and published durations,2026-04-20,2026-05-15,2026-04-20,2026-05-15,2026-04-20,2026-05-15,0,TRUE
P05-M4,P05,P05-CA04,P05-WP041,1.05.4.1,Final Completion,Milestone,0,2026-05-15,2026-05-15,Approved milestone / interface milestone,Source-explicit milestone date,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-05-15,2026-05-15,0,TRUE
P06-A1,P06,P06-CA01,P06-WP011,1.06.1.1,Needs Assessment,Task,15,2025-08-01,2025-08-21,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-08-01,2025-08-21,2025-08-01,2025-08-21,2025-08-01,2025-08-21,0,TRUE
P06-A2,P06,P06-CA01,P06-WP012,1.06.1.2,Project Definition,Task,10,2025-08-22,2025-09-04,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-08-22,2025-09-04,2025-08-22,2025-09-04,2025-08-22,2025-09-04,0,TRUE
P06-A3,P06,P06-CA02,P06-WP021,1.06.2.1,Preliminary Design,Task,20,2025-09-05,2025-10-02,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-09-05,2025-10-02,2025-09-05,2025-10-02,2025-09-05,2025-10-02,0,TRUE
P06-A4,P06,P06-CA02,P06-WP022,1.06.2.2,Final Design,Task,20,2025-10-10,2025-11-06,Project-type realism; +5bd review lag in logic,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-10,2025-11-06,2025-10-10,2025-11-06,2025-10-10,2025-11-06,0,TRUE
P06-A5,P06,P06-CA03,P06-WP031,1.06.3.1,Bid Advertisement,Task,15,2025-10-24,2025-11-13,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-10-24,2025-11-13,2025-10-24,2025-11-13,2025-10-24,2025-11-13,0,TRUE
P06-M1,P06,P06-CA04,P06-WP041,1.06.4.1,Design Complete,Milestone,0,2025-11-06,2025-11-06,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2025-11-06,2025-11-06,2025-11-06,2025-11-06,2026-12-24,2026-12-24,295,FALSE
P06-A4b,P06,P06-CA02,P06-WP022,1.06.2.2,Regulatory Plan Review & Approval,Task,10,2025-11-07,2025-11-20,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-11-07,2025-11-20,2025-11-07,2025-11-20,2025-11-28,2025-12-11,15,FALSE
P06-A5b,P06,P06-CA03,P06-WP031,1.06.3.1,Evaluation & Award,Task,10,2025-11-14,2025-11-27,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-11-14,2025-11-27,2025-11-14,2025-11-27,2025-11-14,2025-11-27,0,TRUE
P06-A5c,P06,P06-CA03,P06-WP032,1.06.3.2,Governing Body Approval,Task,10,2025-11-28,2025-12-11,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-11-28,2025-12-11,2025-11-28,2025-12-11,2025-11-28,2025-12-11,0,TRUE
P06-M2,P06,P06-CA04,P06-WP041,1.06.4.1,Contract Award / NTP,Milestone,0,2025-12-11,2025-12-11,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-25,2025-12-25,2025-12-11,2025-12-11,2025-12-11,2025-12-11,0,TRUE
P06-A10,P06,P06-CA01,P06-WP011,1.06.1.1,Meter/Endpoint Inventory & Route Planning,Task,20,2025-12-12,2026-01-08,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-22,2025-12-12,2026-01-08,2026-11-27,2026-12-24,250,FALSE
P06-A11,P06,P06-CA03,P06-WP031,1.06.3.1,Meter/Endpoint Submittal Review,Task,15,2025-12-12,2026-01-01,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-15,2025-12-12,2026-01-01,2025-12-12,2026-01-01,0,TRUE
P06-A15,P06,P06-CA04,P06-WP041,1.06.4.1,Pilot Deployment Planning & Customer Selection,Task,10,2025-12-12,2025-12-25,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-08,2025-12-12,2025-12-25,2026-04-03,2026-04-16,80,FALSE
P06-A6,P06,P06-CA03,P06-WP032,1.06.3.2,Contractor Mobilization,Task,10,2025-12-12,2025-12-25,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-08,2025-12-12,2025-12-25,2026-04-03,2026-04-16,80,FALSE
P06-A7,P06,P06-CA02,P06-WP022,1.06.2.2,Communications/Network Design,Task,20,2025-12-12,2026-01-08,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-22,2025-12-12,2026-01-08,2026-01-09,2026-02-05,20,FALSE
P06-A8,P06,P06-CA02,P06-WP022,1.06.2.2,Cybersecurity & IT Coordination,Task,15,2025-12-12,2026-01-01,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2025-12-26,2026-01-15,2025-12-12,2026-01-01,2026-02-27,2026-03-19,55,FALSE
P06-A12,P06,P06-CA03,P06-WP032,1.06.3.2,Meter/Endpoint Fabrication,Task,60,2026-01-02,2026-03-26,"Synthetic, industry-informed","Semantic WBS mapping corrected: meter/endpoint fabrication is procurement | Scenario dates calculated from reconstructed logic, not source recovered",2026-01-16,2026-04-09,2026-01-02,2026-03-26,2026-01-02,2026-03-26,0,TRUE
P06-A9,P06,P06-CA04,P06-WP042,1.06.4.2,Head-End / Meter Data Management System Configuration,Task,30,2026-01-09,2026-02-19,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-01-23,2026-03-05,2026-01-09,2026-02-19,2026-02-06,2026-03-19,20,FALSE
P06-A14,P06,P06-CA04,P06-WP042,1.06.4.2,System Integration — head-end / MDM / billing,Task,20,2026-02-20,2026-03-19,Project-type realism,"Semantic WBS mapping corrected: head-end/MDM/billing integration maps to Head-End System Integration | Scenario dates calculated from reconstructed logic, not source recovered",2026-03-06,2026-04-02,2026-02-20,2026-03-19,2026-03-20,2026-04-16,20,FALSE
P06-A13,P06,P06-CA03,P06-WP032,1.06.3.2,Meter/Endpoint Delivery,Task,10,2026-03-27,2026-04-09,"Synthetic, industry-informed","Semantic WBS mapping corrected: meter/endpoint delivery is procurement | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-10,2026-04-23,2026-03-27,2026-04-09,2026-03-27,2026-04-09,0,TRUE
P06-APILOTSTAGE,P06,P06-CA04,P06-WP041,1.06.4.1,Pilot Equipment Staging & Configuration,Task,5,2026-04-10,2026-04-16,Approved P06 v2 added prerequisite,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-04-24,2026-04-30,2026-04-10,2026-04-16,2026-04-10,2026-04-16,0,TRUE
P06-A16,P06,P06-CA04,P06-WP041,1.06.4.1,Pilot Deployment,Task,15,2026-04-17,2026-05-07,"Synthetic, industry-informed","BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-01,2026-05-21,2026-04-17,2026-05-07,2026-04-17,2026-05-07,0,TRUE
P06-AFIRSTPILOT,P06,P06-CA04,P06-WP041,1.06.4.1,Install First Pilot Endpoints,Task,2,2026-04-17,2026-04-20,Approved P06 v2 explicit completed-scope activity,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-01,2026-05-04,2026-04-17,2026-04-20,2026-12-23,2026-12-24,178,FALSE
P06-MFIRSTPILOT,P06,P06-CA05,P06-WP051,1.06.5.1,First Pilot Endpoints Live,Milestone,0,2026-04-20,2026-04-20,Approved P06 v2 completed-scope milestone,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-05,2026-05-05,2026-04-20,2026-04-20,2026-12-24,2026-12-24,178,FALSE
P06-MSYSINT,P06,P06-CA04,P06-WP042,1.06.4.2,MSYSINT,Milestone,0,2026-03-19,2026-03-19,Approved milestone / interface milestone,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-21,2026-05-21,2026-03-19,2026-03-19,2026-04-16,2026-04-16,20,FALSE
P06-A17,P06,P06-CA05,P06-WP051,1.06.5.1,Pilot Validation,Task,15,2026-05-08,2026-05-28,Project-type realism,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-05-22,2026-06-11,2026-05-08,2026-05-28,2026-05-08,2026-05-28,0,TRUE
P06-A18a,P06,P06-CA04,P06-WP041,1.06.4.1,Field Deployment Wave 1,Task,35,2026-05-29,2026-07-16,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-06-12,2026-07-30,2026-05-29,2026-07-16,2026-07-31,2026-09-17,45,FALSE
P06-MPILOTREADY,P06,P06-CA05,P06-WP051,1.06.5.1,Pilot Ready,Milestone,0,2026-04-16,2026-04-16,Approved P06 v2 corrected pre-deployment gate,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-06-12,2026-06-12,2026-04-16,2026-04-16,2026-04-16,2026-04-16,0,TRUE
P06-A19a,P06,P06-CA04,P06-WP041,1.06.4.1,Field Deployment Wave 2,Task,35,2026-06-19,2026-08-06,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-07-03,2026-08-20,2026-06-19,2026-08-06,2026-07-31,2026-09-17,30,FALSE
P06-MPILOTDONE,P06,P06-CA04,P06-WP041,1.06.4.1,MPILOTDONE,Milestone,0,2026-05-28,2026-05-28,Approved milestone / interface milestone,"BLOCKED: source-versus-reconstructed milestone/sequence inconsistency; see focused reconciliation QA report | Scenario dates calculated from reconstructed logic, not source recovered",2026-07-16,2026-07-16,2026-05-28,2026-05-28,2026-12-24,2026-12-24,150,FALSE
P06-A20a,P06,P06-CA04,P06-WP041,1.06.4.1,Field Deployment Wave 3,Task,35,2026-07-10,2026-08-27,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-07-24,2026-09-10,2026-07-10,2026-08-27,2026-07-31,2026-09-17,15,FALSE
P06-A18b,P06,P06-CA04,P06-WP043,1.06.4.3,Wave 1 Data Migration / Account Reconciliation,Task,10,2026-07-17,2026-07-30,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-07-31,2026-08-13,2026-07-17,2026-07-30,2026-09-18,2026-10-01,45,FALSE
P06-A21a,P06,P06-CA04,P06-WP041,1.06.4.1,Field Deployment Wave 4,Task,35,2026-07-31,2026-09-17,"Synthetic, industry-informed","Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-08-14,2026-10-01,2026-07-31,2026-09-17,2026-07-31,2026-09-17,0,TRUE
P06-A19b,P06,P06-CA04,P06-WP043,1.06.4.3,Wave 2 Data Migration / Account Reconciliation,Task,10,2026-08-07,2026-08-20,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-08-21,2026-09-03,2026-08-07,2026-08-20,2026-09-18,2026-10-01,30,FALSE
P06-M25,P06,P06-CA04,P06-WP041,1.06.4.1,M25,Milestone,0,2026-07-16,2026-07-16,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-03,2026-09-03,2026-07-16,2026-07-16,2026-12-24,2026-12-24,115,FALSE
P06-A20b,P06,P06-CA04,P06-WP043,1.06.4.3,Wave 3 Data Migration / Account Reconciliation,Task,10,2026-08-28,2026-09-10,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-11,2026-09-24,2026-08-28,2026-09-10,2026-09-18,2026-10-01,15,FALSE
P06-M50,P06,P06-CA04,P06-WP041,1.06.4.1,M50,Milestone,0,2026-08-06,2026-08-06,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-09-24,2026-09-24,2026-08-06,2026-08-06,2026-12-24,2026-12-24,100,FALSE
P06-A21b,P06,P06-CA04,P06-WP043,1.06.4.3,Wave 4 Data Migration / Account Reconciliation,Task,10,2026-09-18,2026-10-01,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-10-02,2026-10-15,2026-09-18,2026-10-01,2026-09-18,2026-10-01,0,TRUE
P06-M75,P06,P06-CA04,P06-WP041,1.06.4.1,M75,Milestone,0,2026-08-27,2026-08-27,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-10-15,2026-10-15,2026-08-27,2026-08-27,2026-12-24,2026-12-24,85,FALSE
P06-A22,P06,P06-CA04,P06-WP041,1.06.4.1,Exception Handling & Remediation,Task,15,2026-10-02,2026-10-22,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-10-16,2026-11-05,2026-10-02,2026-10-22,2026-10-02,2026-10-22,0,TRUE
P06-MFULL,P06,P06-CA04,P06-WP041,1.06.4.1,MFULL,Milestone,0,2026-09-17,2026-09-17,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-11-05,2026-11-05,2026-09-17,2026-09-17,2026-12-24,2026-12-24,70,FALSE
P06-A23,P06,P06-CA05,P06-WP051,1.06.5.1,Final Deployment Verification,Task,10,2026-10-23,2026-11-05,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-11-06,2026-11-19,2026-10-23,2026-11-05,2026-10-23,2026-11-05,0,TRUE
P06-A24,P06,P06-CA05,P06-WP051,1.06.5.1,Operational Handoff / Training,Task,10,2026-11-06,2026-11-19,Project-type realism,"Semantic WBS mapping corrected: operational handoff/training is acceptance/commissioning scope | Scenario dates calculated from reconstructed logic, not source recovered",2026-11-20,2026-12-03,2026-11-06,2026-11-19,2026-11-06,2026-11-19,0,TRUE
P06-A25,P06,P06-CA06,P06-WP061,1.06.6.1,Documentation & Turnover,Task,10,2026-11-20,2026-12-03,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-04,2026-12-17,2026-11-20,2026-12-03,2026-11-20,2026-12-03,0,TRUE
P06-M3,P06,P06-CA04,P06-WP041,1.06.4.1,Substantial Completion,Milestone,0,2026-11-19,2026-11-19,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-10,2026-12-10,2026-11-19,2026-11-19,2026-12-24,2026-12-24,25,FALSE
P06-MOPACC,P06,P06-CA04,P06-WP041,1.06.4.1,MOPACC,Milestone,0,2026-11-19,2026-11-19,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-10,2026-12-10,2026-11-19,2026-11-19,2026-12-24,2026-12-24,25,FALSE
P06-A26,P06,P06-CA06,P06-WP062,1.06.6.2,Financial Closeout,Task,15,2026-12-04,2026-12-24,Project-type realism,"Source-derived / reconstructed network | Scenario dates calculated from reconstructed logic, not source recovered",2026-12-18,2027-01-07,2026-12-04,2026-12-24,2026-12-04,2026-12-24,0,TRUE
P06-M4,P06,P06-CA04,P06-WP041,1.06.4.1,Final Completion,Milestone,0,2026-12-24,2026-12-24,Approved milestone / interface milestone,"Source-explicit milestone date | Scenario dates calculated from reconstructed logic, not source recovered",2027-01-07,2027-01-07,2026-12-24,2026-12-24,2026-12-24,2026-12-24,0,TRUE
P07-A1,P07,P07-CA01,P07-WP011,1.07.1.1,Hydraulic & Operational Assessment,Task,15,2025-10-01,2025-10-21,Project-type realism,Source-derived / reconstructed network,2025-10-01,2025-10-21,2025-10-01,2025-10-21,2025-10-01,2025-10-21,0,TRUE
P07-A2,P07,P07-CA01,P07-WP012,1.07.1.2,Project Definition & Pressure-Zone Strategy,Task,10,2025-10-22,2025-11-04,Project-type realism,Source-derived / reconstructed network,2025-10-22,2025-11-04,2025-10-22,2025-11-04,2025-10-22,2025-11-04,0,TRUE
P07-A3,P07,P07-CA02,P07-WP021,1.07.2.1,Preliminary Design — PRV/Valve Siting & Instrumentation Plan,Task,20,2025-11-05,2025-12-02,Project-type realism,Source-derived / reconstructed network,2025-11-05,2025-12-02,2025-11-05,2025-12-02,2025-11-05,2025-12-02,0,TRUE
P07-A4,P07,P07-CA02,P07-WP022,1.07.2.2,Final Design (100%),Task,20,2025-12-10,2026-01-06,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network,2025-12-10,2026-01-06,2025-12-10,2026-01-06,2025-12-10,2026-01-06,0,TRUE
P07-A5,P07,P07-CA03,P07-WP031,1.07.3.1,Bid Advertisement,Task,15,2025-12-24,2026-01-13,Project-type realism,Source-derived / reconstructed network,2025-12-24,2026-01-13,2025-12-24,2026-01-13,2025-12-24,2026-01-13,0,TRUE
P07-M1,P07,P07-CA04,P07-WP041,1.07.4.1,Design Complete,Milestone,0,2026-01-06,2026-01-06,Approved milestone / interface milestone,Source-explicit milestone date,2026-01-06,2026-01-06,2026-01-06,2026-01-06,2026-09-01,2026-09-01,170,FALSE
P07-A4b,P07,P07-CA02,P07-WP022,1.07.2.2,Regulatory Plan Review & Approval,Task,15,2026-01-07,2026-01-27,Project-type realism,Source-derived / reconstructed network,2026-01-07,2026-01-27,2026-01-07,2026-01-27,2026-02-04,2026-02-24,20,FALSE
P07-A5b,P07,P07-CA03,P07-WP031,1.07.3.1,Evaluation & Award,Task,10,2026-01-14,2026-01-27,Project-type realism,Source-derived / reconstructed network,2026-01-14,2026-01-27,2026-01-14,2026-01-27,2026-01-14,2026-01-27,0,TRUE
P07-A5c,P07,P07-CA03,P07-WP032,1.07.3.2,Governing Body Approval,Task,10,2026-01-28,2026-02-10,Project-type realism,Source-derived / reconstructed network,2026-01-28,2026-02-10,2026-01-28,2026-02-10,2026-01-28,2026-02-10,0,TRUE
P07-M2,P07,P07-CA04,P07-WP041,1.07.4.1,Contract Award / NTP,Milestone,0,2026-02-24,2026-02-24,Approved milestone / interface milestone,Source-explicit milestone date,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,2026-02-24,0,TRUE
P07-A6,P07,P07-CA03,P07-WP032,1.07.3.2,Contractor Mobilization,Task,10,2026-02-25,2026-03-10,Project-type realism,Source-derived / reconstructed network,2026-02-25,2026-03-10,2026-02-25,2026-03-10,2026-03-25,2026-04-07,20,FALSE
P07-A7,P07,P07-CA04,P07-WP041,1.07.4.1,Utility Coordination & Locate Requests,Task,10,2026-02-25,2026-03-10,Project-type realism,Source-derived / reconstructed network,2026-02-25,2026-03-10,2026-02-25,2026-03-10,2026-03-25,2026-04-07,20,FALSE
P07-A8,P07,P07-CA03,P07-WP031,1.07.3.1,PRV/Valve/Instrumentation Submittal Review,Task,15,2026-02-25,2026-03-17,Synthetic project-specific planning assumption,Source-derived / reconstructed network,2026-02-25,2026-03-17,2026-02-25,2026-03-17,2026-02-25,2026-03-17,0,TRUE
P07-A10,P07,P07-CA04,P07-WP041,1.07.4.1,PRV Station Vault/Enclosure Construction,Task,15,2026-03-11,2026-03-31,Project-type realism,Source-derived / reconstructed network,2026-03-11,2026-03-31,2026-03-11,2026-03-31,2026-04-08,2026-04-28,20,FALSE
P07-A9,P07,P07-CA04,P07-WP043,1.07.4.3,PRV/Valve/Instrumentation Procurement,Task,30,2026-03-18,2026-04-28,Synthetic project-specific planning assumption,Source-derived / reconstructed network,2026-03-18,2026-04-28,2026-03-18,2026-04-28,2026-03-18,2026-04-28,0,TRUE
P07-A11,P07,P07-CA04,P07-WP042,1.07.4.2,PRV & Isolation Valve Installation,Task,15,2026-04-29,2026-05-19,Project-type realism,Source-derived / reconstructed network,2026-04-29,2026-05-19,2026-04-29,2026-05-19,2026-04-29,2026-05-19,0,TRUE
P07-A12,P07,P07-CA04,P07-WP043,1.07.4.3,Instrumentation & Monitoring Installation,Task,10,2026-05-20,2026-06-02,Project-type realism,Source-derived / reconstructed network,2026-05-20,2026-06-02,2026-05-20,2026-06-02,2026-05-20,2026-06-02,0,TRUE
P07-A13,P07,P07-CA04,P07-WP043,1.07.4.3,Electrical/Controls Integration,Task,10,2026-06-03,2026-06-16,Project-type realism,Source-derived / reconstructed network,2026-06-03,2026-06-16,2026-06-03,2026-06-16,2026-06-03,2026-06-16,0,TRUE
P07-A14,P07,P07-CA05,P07-WP051,1.07.5.1,Pressure Testing & Commissioning,Task,10,2026-06-17,2026-06-30,Project-type realism,Source-derived / reconstructed network,2026-06-17,2026-06-30,2026-06-17,2026-06-30,2026-06-17,2026-06-30,0,TRUE
P07-MCOMM,P07,P07-CA04,P07-WP041,1.07.4.1,MCOMM,Milestone,0,2026-06-30,2026-06-30,Approved milestone / interface milestone,Source-explicit milestone date,2026-06-30,2026-06-30,2026-06-30,2026-06-30,2026-09-01,2026-09-01,45,FALSE
P07-A15,P07,P07-CA05,P07-WP051,1.07.5.1,System Balancing & Optimization,Task,15,2026-07-01,2026-07-21,"Synthetic, industry-informed planning assumption",Source-derived / reconstructed network,2026-07-01,2026-07-21,2026-07-01,2026-07-21,2026-07-01,2026-07-21,0,TRUE
P07-MBAL,P07,P07-CA04,P07-WP041,1.07.4.1,MBAL,Milestone,0,2026-07-21,2026-07-21,Approved milestone / interface milestone,Source-explicit milestone date,2026-07-21,2026-07-21,2026-07-21,2026-07-21,2026-09-01,2026-09-01,30,FALSE
P07-A16,P07,P07-CA04,P07-WP041,1.07.4.1,Final Inspection & Punch List,Task,10,2026-07-22,2026-08-04,Project-type realism,Source-derived / reconstructed network,2026-07-22,2026-08-04,2026-07-22,2026-08-04,2026-07-22,2026-08-04,0,TRUE
P07-M3,P07,P07-CA04,P07-WP041,1.07.4.1,Substantial Completion,Milestone,0,2026-08-04,2026-08-04,Approved milestone / interface milestone,Source-explicit milestone date,2026-08-04,2026-08-04,2026-08-04,2026-08-04,2026-09-01,2026-09-01,20,FALSE
P07-A17,P07,P07-CA06,P07-WP061,1.07.6.1,Documentation & Turnover,Task,10,2026-08-05,2026-08-18,Project-type realism,Source-derived / reconstructed network,2026-08-05,2026-08-18,2026-08-05,2026-08-18,2026-08-05,2026-08-18,0,TRUE
P07-A18,P07,P07-CA06,P07-WP062,1.07.6.2,Financial Closeout,Task,15,2026-08-12,2026-09-01,Project-type realism,Recovered from approved P07 M3/M4 dates + SS+5 closeout overlap,2026-08-12,2026-09-01,2026-08-12,2026-09-01,2026-08-12,2026-09-01,0,TRUE
P07-M4,P07,P07-CA04,P07-WP041,1.07.4.1,Final Completion,Milestone,0,2026-09-01,2026-09-01,Approved milestone / interface milestone,Source-explicit milestone date,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,2026-09-01,0,TRUE
P08-A1,P08,P08-CA01,P08-WP011,1.08.1.1,Electrical Load / Resiliency Assessment,Task,15,2025-12-01,2025-12-19,Project-type realism,Source-derived / reconstructed network,2025-12-01,2025-12-19,2025-12-01,2025-12-19,2025-12-01,2025-12-19,0,TRUE
P08-A2,P08,P08-CA01,P08-WP012,1.08.1.2,Project Definition & Generator Sizing Basis,Task,10,2025-12-22,2026-01-02,Project-type realism,Source-derived / reconstructed network,2025-12-22,2026-01-02,2025-12-22,2026-01-02,2025-12-22,2026-01-02,0,TRUE
P08-A3,P08,P08-CA02,P08-WP021,1.08.2.1,Preliminary Design — Switchgear/ATS & Site Layout,Task,20,2026-01-05,2026-01-30,Project-type realism,Source-derived / reconstructed network,2026-01-05,2026-01-30,2026-01-05,2026-01-30,2026-01-05,2026-01-30,0,TRUE
P08-A7,P08,P08-CA04,P08-WP041,1.08.4.1,Electric Utility Coordination,Task,15,2026-01-19,2026-02-06,Project-type realism,Source-derived / reconstructed network,2026-01-19,2026-02-06,2026-01-19,2026-02-06,2026-12-21,2027-01-08,240,FALSE
P08-A4,P08,P08-CA02,P08-WP022,1.08.2.2,Final Design — Switchgear/ATS & Site Layout,Task,20,2026-02-09,2026-03-06,Project-type realism; +5bd review lag in logic,Source-derived / reconstructed network,2026-02-09,2026-03-06,2026-02-09,2026-03-06,2026-02-09,2026-03-06,0,TRUE
P08-A5,P08,P08-CA03,P08-WP031,1.08.3.1,Bid Advertisement,Task,15,2026-02-23,2026-03-13,Project-type realism,Source-derived / reconstructed network,2026-02-23,2026-03-13,2026-02-23,2026-03-13,2026-02-23,2026-03-13,0,TRUE
P08-I-P08-01,P08,P08-CA04,P08-WP042,1.08.4.2,Generator/ATS Controls Design Freeze,Milestone,0,2026-03-06,2026-03-06,Approved milestone / interface milestone,Source-explicit milestone date,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2027-01-08,2027-01-08,220,FALSE
P08-M1,P08,P08-CA04,P08-WP041,1.08.4.1,Design Complete,Milestone,0,2026-03-06,2026-03-06,Approved milestone / interface milestone,Source-explicit milestone date,2026-03-06,2026-03-06,2026-03-06,2026-03-06,2027-01-08,2027-01-08,220,FALSE
P08-A4b,P08,P08-CA02,P08-WP022,1.08.2.2,Regulatory Plan Review & Approval,Task,15,2026-03-09,2026-03-27,Project-type realism,Source-derived / reconstructed network,2026-03-09,2026-03-27,2026-03-09,2026-03-27,2026-04-06,2026-04-24,20,FALSE
P08-A5b,P08,P08-CA03,P08-WP031,1.08.3.1,Evaluation & Award,Task,10,2026-03-16,2026-03-27,Project-type realism,Source-derived / reconstructed network,2026-03-16,2026-03-27,2026-03-16,2026-03-27,2026-03-16,2026-03-27,0,TRUE
P08-A5c,P08,P08-CA03,P08-WP032,1.08.3.2,Governing Body Approval,Task,10,2026-03-30,2026-04-10,Project-type realism,Source-derived / reconstructed network,2026-03-30,2026-04-10,2026-03-30,2026-04-10,2026-03-30,2026-04-10,0,TRUE
P08-M2,P08,P08-CA04,P08-WP041,1.08.4.1,Contract Award / NTP,Milestone,0,2026-04-24,2026-04-24,Approved milestone / interface milestone,Source-explicit milestone date,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-24,2026-04-24,0,TRUE
P08-A13,P08,P08-CA04,P08-WP041,1.08.4.1,Site/Civil Preparation & Concrete Pad/Enclosure Work,Task,15,2026-04-27,2026-05-15,Project-type realism,Source-derived / reconstructed network,2026-04-27,2026-05-15,2026-04-27,2026-05-15,2026-08-31,2026-09-18,90,FALSE
P08-A14,P08,P08-CA04,P08-WP041,1.08.4.1,Outage/Shutdown Planning & Operations Coordination,Task,10,2026-04-27,2026-05-08,Synthetic project-specific planning assumption,Source-derived / reconstructed network,2026-04-27,2026-05-08,2026-04-27,2026-05-08,2026-05-11,2026-05-22,10,FALSE
